Probe Name	perc_Samples_above_Threshold	20150715_PP1_PR13-126-11B 15-1_10.RCC	20150715_PP1_PR13-126-12B_12.RCC	20150715_PP1_PR13-126-1B_01.RCC	20150715_PP1_PR13-126-5B_04.RCC	20150715_PP1_PR13-126-6B_06.RCC	20150715_PP1_PR13-126-7B_05.RCC	20150715_PP1_PR13-126-9B_08.RCC	20150715_PP2_PR13-126-13B_01.RCC	20150715_PP2_PR13-126-16B_02.RCC	20150715_PP2_PR13-126-3B 15-2_06.RCC	20151008_PP3_PR13-126-03A_01.RCC	20151008_PP3_PR13-126-06A_02.RCC	20151008_PP3_PR13-126-11A_03.RCC	20160226_26FEBCITN_PR1312644A_07.RCC	20160226_26FEBCITN_PR1312644B_08.RCC	20160226_26FEBCITN_PR1312647A_05.RCC	20160226_26FEBCITN_PR1312647B_06.RCC	20160325_Lysates1A_PR13 126 01A_05.RCC	20160325_Lysates1A_PR13 126 05A_06.RCC	20160325_Lysates1A_PR13 126 07A_07.RCC	20160325_Lysates1A_PR13 126 09A_02.RCC	20160325_Lysates1A_PR13 126 12A_03.RCC	20160325_Lysates1A_PR13 126 13A_09.RCC	20160325_Lysates1A_PR13 126 16A_04.RCC
ID	xx	22-024_D015:22-024_D015	22-025_D015:22-025_D015	58-001_D015:58-001_D015	58-003_D015:58-003_D015	58-004_D015:58-004_D015	58-005_D015:58-005_D015	22-023_D015:22-023_D015	58-007_D015:58-007_D015	22-026_D015:22-026_D015	58-002_D015:58-002_D015	58-002_D000:58-002_D000	58-004_D000:58-004_D000	22-024_D000:22-024_D000	22-029_D000:22-029_D000	22-029_D015:22-029_D015	58-008_D000:58-008_D000	58-008_D015:58-008_D015	58-001_D000:58-001_D000	58-003_D000:58-003_D000	58-005_D000:58-005_D000	22-023_D000:22-023_D000	22-025_D000:22-025_D000	58-007_D000:58-007_D000	22-026_D000:22-026_D000
FLAG				FLAG	FLAG	FLAG		FLAG	FLAG							FLAG									
IL11RA	100	168.66	221.4	320.61	249.45	295.78	72.37	122.43	294.89	122.46	91.46	188.36	296.78	454.58	241.26	255.95	144.59	127.85	475.06	893.73	220.04	344.08	481.12	214.56	220.45
IL12A	100	134.1	36.9	48.75	25.81	28.32	34.96	158.83	94.79	55.18	93.54	31.07	21.39	36.21	28.09	15.43	58	29.02	23.75	17.52	60.8	71.94	144.34	199.36	56.64
IL12B	87.5	24.88	14.19	52.5	21.5	18.88	11.75	13.24	11.62	28.26	10.88	184.48	175.13	237.34	34.7	20.58	81.69	9.97	343.72	203.07	124.49	391	264.61	155.43	231.16
IL12RB1	95.83	17.97	12.88	133.12	22.94	28.32	13.82	27.57	24.57	48.45	91.46	326.24	160.42	297.69	42.96	36.01	137.23	9.07	465.28	205.14	376.38	450.43	541.26	189.22	313.83
IL12RB2	95.83	31.8	21.76	86.25	30.11	22.03	62.61	48.53	56.17	15.25	37.42	114.57	82.88	229.3	24.79	46.3	32.67	35.36	183.04	87.62	121.6	128.25	264.61	89.54	108.69
IL13	100	23.5	20.82	24.37	12.9	22.03	13.01	14.34	35.11	32.3	29.1	159.24	88.23	177	41.31	15.43	88.22	18.13	378.65	130.92	205.56	262.75	457.06	162.19	235.76
IL13RA1	100	3995.33	3166.8	2469.28	3244.29	3126.13	2881.69	1439.4	2806.75	3165.23	8069.22	6153.89	1839.5	2248.74	1946.64	1641.17	2832.09	2070.07	2016.2	1692.63	3054.47	2123.91	1780.14	2064.55	2480.02
IL13RA2	91.67	11.75	25.55	46.87	18.64	88.1	39.03	58.46	43.88	26.92	10.88	147.58	106.95	164.93	57.84	61.74	36.76	24.48	216.57	115.45	110.02	181.42	228.53	89.54	316.89
IL15	100	341.47	188.29	337.49	341.2	335.11	346.39	500.76	217.66	464.29	538.36	392.26	205.87	265.5	118.98	104.18	206.67	68.91	303.2	198.95	312.68	297.16	396.92	199.36	263.31
IL15RA	100	786.62	166.52	457.48	372.74	347.7	82.94	247.07	405.48	715.94	550.84	407.8	316.83	418.37	231.35	216.08	223.82	131.48	572.86	344.3	312.68	437.92	661.54	331.14	574.08
IL16	100	320.73	218.56	1852.43	361.27	446.81	73.18	147.8	995.27	121.12	885.49	545.67	364.96	885.01	710.57	577.49	317.76	213.99	1658.51	226.78	191.09	459.82	757.76	449.4	517.44
IL17A	33.33	23.5	15.14	18.75	9	10.5	11.75	15.44	11.62	15.25	10.88	8.12	12.03	5.62	6.88	7.38	10.62	8.16	7.5	11.34	9.12	9	9.25	7.88	8.88
IL17B	54.17	17.97	12.88	9.88	9	10.5	17.89	22.06	11.62	15.25	10.88	25.24	18.72	5.62	24.79	7.38	20.42	7.62	44.71	23.71	34.74	56.3	9.25	28.72	30.62
IL17F	83.33	11.75	12.88	18.75	18.64	10.5	14.64	15.44	11.62	24.22	24.94	238.85	143.04	253.44	11.57	12.86	75.97	16.32	447.11	235.03	214.25	344.08	384.89	266.94	342.92
IL17RA	100	322.11	231.81	404.98	465.93	308.37	103.27	243.76	326.49	224.74	505.11	570.92	271.38	402.28	325.54	244.37	262.22	236.66	535.14	381.41	208.46	512.99	517.2	336.21	422.52
IL17RB	100	77.42	51.09	41.25	30.11	83.38	111.4	77.21	31.6	36.34	33.26	36.9	62.83	24.14	26.44	21.87	19.6	55.31	26.55	28.86	55.01	46.92	132.31	18.58	61.24
IL18	100	366.35	66.23	446.23	303.93	292.63	188.64	143.39	354.57	76.71	717.13	539.85	299.45	341.94	437.91	376.85	170.73	133.29	1070.28	373.16	370.59	675.65	685.59	567.67	644.5
IL18R1	100	78.8	32.17	313.11	116.12	127.44	42.28	69.49	157.98	119.77	166.29	240.8	176.46	297.69	190.04	173.63	62.08	58.03	364.68	89.68	104.23	165.78	240.56	157.12	205.14
IL18RAP	91.67	27.65	13.25	67.5	25.81	29.89	11.75	55.15	11.62	63.25	124.72	174.77	92.24	120.68	21.48	24.44	28.59	10.88	178.85	73.19	72.38	156.4	240.56	111.51	110.22
IL19	87.5	26.27	15.14	43.12	18.64	36.19	11.75	10.12	38.62	15.25	43.65	66.02	36.09	64.36	49.57	24.44	13.07	49.87	46.11	16.49	46.32	65.69	144.34	27.03	48.99
IL1A	91.67	29.03	12.88	35.62	27.24	23.6	26.83	26.47	11.62	28.26	54.04	186.42	167.11	221.25	34.7	23.15	32.67	11.79	286.43	132.98	118.7	269.01	156.36	136.85	169.93
IL1B	100	98.16	25.55	301.86	270.96	199.81	85.38	219.49	112.34	103.62	216.18	304.88	191.17	177	112.37	77.17	110.28	156.86	420.57	194.83	217.14	331.57	300.7	197.67	284.74
IL1R1	100	1606.42	585.67	2458.03	1003.54	1397.08	1516.46	582.38	1878.19	873.4	1615.09	1097.17	755.32	836.74	788.24	924.76	297.34	359.97	1768.89	481.4	428.49	419.15	1455.38	949.49	1295.12
IL1R2	100	67.74	18.92	45	53.04	155.76	35.78	24.27	142.18	39.03	78.99	186.42	136.36	140.8	42.96	18.01	56.36	21.76	217.97	104.11	81.07	203.32	252.59	195.98	153.09
IL1RAP	100	1877.39	427.66	1308.7	1317.5	2281.27	974.11	1736.1	3584.36	2897.42	5356.61	2200.17	1602.88	317.8	1845.84	1426.37	831.57	2054.66	757.3	1290.6	799.08	1019.73	481.12	2603.5	1151.22
IL1RAPL2	100	62.21	62.45	50.62	32.97	20.45	42.28	60.66	86.01	39.03	49.89	196.13	137.7	221.25	72.71	83.6	62.9	29.02	364.68	205.14	118.7	256.5	396.92	136.85	188.3
IL1RL1	100	29.03	19.87	118.12	30.11	45.63	18.7	12.13	77.23	22.88	39.49	128.17	82.88	217.23	150.38	73.31	152.75	26.3	289.23	103.08	136.08	250.24	420.98	145.3	226.57
IL1RL2	100	76.04	21.76	37.5	31.54	138.45	27.65	46.33	77.23	52.48	60.28	44.66	143.04	76.43	49.57	50.16	62.08	83.42	141.12	73.19	66.59	128.25	180.42	101.37	130.12
IL1RN	100	45.62	13.25	41.25	73.11	55.07	31.71	59.56	70.21	154.76	130.95	108.75	80.21	116.66	92.54	82.32	73.52	61.66	245.91	125.76	234.51	312.8	408.95	258.49	189.83
IL2	62.5	11.75	12.88	24.37	18.64	10.5	11.75	10.12	11.62	15.25	10.88	126.22	98.93	148.84	14.87	7.38	21.24	8.16	230.54	124.73	89.75	181.42	300.7	108.13	145.43
IL21	66.67	11.75	12.88	30	14.34	10.5	11.75	10.12	11.62	15.25	22.86	186.42	159.09	245.39	6.88	11.58	42.48	8.16	392.62	188.64	147.66	275.26	252.59	135.16	248
IL21R	100	70.51	15.14	358.11	58.78	51.92	12.2	43.02	59.68	72.67	232.81	186.42	113.63	172.98	59.49	69.45	72.7	43.52	375.85	116.48	107.12	172.04	288.67	135.16	278.62
IL22	54.17	11.75	12.88	18.75	9	10.5	11.75	10.12	11.62	15.25	27.02	198.07	110.96	172.98	6.88	7.38	29.41	7.62	180.24	73.19	89.75	156.4	180.42	87.85	116.35
IL22RA1	100	40.09	32.17	43.12	18.64	36.19	34.96	16.54	36.86	86.13	56.12	198.07	94.92	136.77	51.23	23.15	107.01	25.39	191.42	118.55	138.97	181.42	192.45	96.3	127.06
IL22RA2	83.33	22.12	12.88	31.87	22.94	22.03	11.75	18.75	35.11	22.88	33.26	33.01	7.5	5.62	64.45	18.01	9.8	10.88	23.75	22.68	60.8	53.18	180.42	50.68	29.09
IL23A	95.83	45.62	12.88	95.62	67.38	56.64	35.78	34.19	50.9	26.92	93.54	176.71	122.99	193.09	29.74	41.16	60.45	36.27	238.93	106.18	127.39	200.19	457.06	143.61	166.87
IL23R	83.33	22.12	26.49	43.12	34.41	10.5	20.33	17.65	11.62	15.25	10.88	188.36	92.24	140.8	18.18	16.72	72.7	18.13	258.49	125.76	133.18	197.06	252.59	148.67	160.74
IL24	79.17	11.75	16.08	24.37	27.24	25.17	11.75	10.12	11.62	36.34	54.04	192.25	80.21	116.66	19.83	10.29	43.29	7.62	248.71	135.04	118.7	253.37	360.84	111.51	142.37
IL25	62.5	11.75	12.88	9.88	20.07	10.5	11.75	10.12	11.62	15.25	10.88	93.21	50.8	44.25	26.44	23.15	78.42	10.88	255.69	99.99	101.33	172.04	120.28	126.71	107.16
IL26	79.17	11.75	14.19	22.5	9	17.31	11.75	14.34	11.62	15.25	24.94	188.36	156.41	172.98	29.74	11.58	58.81	9.97	272.46	138.13	182.4	215.83	577.34	184.15	166.87
IL27	62.5	11.75	12.88	9.88	15.77	10.5	11.75	10.12	11.62	15.25	27.02	36.9	26.74	44.25	14.87	7.38	66.17	9.97	132.74	78.34	127.39	109.48	132.31	45.62	68.89
IL2RA	100	100.92	29.33	343.11	64.51	152.61	86.19	61.77	107.07	119.77	247.36	440.81	188.5	362.05	102.45	124.76	133.97	56.22	712.59	337.08	309.79	794.51	505.17	346.34	479.17
IL2RB	100	141.01	42.58	583.1	116.12	160.48	34.96	129.05	78.99	227.43	527.97	269.92	168.44	265.5	49.57	133.76	132.33	48.96	561.69	132.98	101.33	237.73	360.84	108.13	274.03
IL2RG	100	269.58	90.83	1124.96	288.16	168.34	85.38	311.04	286.12	269.15	625.67	539.85	375.65	716.06	143.77	230.23	253.23	123.32	1207.2	306.16	124.49	403.51	529.23	261.87	759.32
IL3	50	11.75	12.88	9.88	9	10.5	11.75	10.12	11.62	15.25	10.88	104.86	60.16	96.55	19.83	7.38	41.66	7.62	222.16	74.22	141.87	181.42	384.89	119.95	133.19
IL32	100	16584.06	15616.39	21316.04	5797.58	13445.35	10945.36	9186.76	15762.76	7003.34	10316.21	34109.5	19437.78	63721.04	38013.99	12857.94	16961.5	12931.83	38229.53	29748.85	112253.87	155314.78	182054.95	65986.23	53602.19
IL34	100	89.86	16.08	90	43.01	56.64	81.31	39.71	47.39	21.53	72.75	34.95	69.52	88.5	97.5	54.02	90.67	34.46	74.05	125.76	57.9	34.41	228.53	37.17	27.56
IL3RA	100	42.86	25.55	134.99	80.28	84.96	39.03	48.53	42.13	26.92	103.93	50.49	50.8	144.82	76.01	77.17	28.59	31.74	169.06	41.23	75.28	228.34	408.95	79.41	73.48
IL4	75	19.35	12.88	18.75	15.77	10.5	11.75	15.44	11.62	26.92	10.88	73.79	40.11	88.5	14.87	14.15	40.84	7.62	198.41	72.16	165.03	153.27	348.81	143.61	146.96
IL4R	100	720.26	191.12	800.59	442.99	457.83	638.3	298.91	305.43	462.94	904.2	452.46	276.73	434.46	703.96	389.71	167.46	191.32	421.96	224.72	654.32	547.4	673.56	256.8	373.53
IL5	45.83	11.75	12.88	9.88	9	10.5	11.75	10.12	11.62	15.25	10.88	130.11	109.62	164.93	6.88	7.38	33.49	7.62	254.3	88.65	66.59	256.5	168.39	101.37	154.62
IL5RA	100	400.91	71.91	63.75	43.01	36.19	16.26	510.68	52.66	29.61	35.34	238.85	173.79	217.23	54.53	16.72	119.26	18.13	265.47	68.04	130.29	250.24	324.75	101.37	137.78
IL6	95.83	225.34	63.39	268.11	212.18	171.49	56.11	102.58	64.95	144	91.46	21.36	18.72	28.16	82.62	75.88	53.91	132.38	85.23	25.77	49.22	40.66	9.25	79.41	188.3
IL6R	100	306.91	320.75	322.49	517.54	158.9	389.48	822.83	152.71	244.93	205.78	388.38	306.14	450.55	221.43	164.63	152.75	118.78	357.69	212.35	185.29	337.82	408.95	185.84	292.4
IL6ST	100	6049.67	5817	4809.19	2673.71	3080.51	3873.69	3793.17	4209.25	1051.04	2203.34	2139.98	2358.2	5334.22	4722.83	4065.61	2289.69	2029.27	3534.98	1699.85	2072.98	1842.39	4053.42	2130.44	3227.09
IL7	100	99.54	34.06	78.75	38.71	47.2	14.64	27.57	24.57	45.76	54.04	198.07	212.56	205.16	99.15	41.16	135.6	23.58	547.71	265.96	257.68	506.74	517.2	190.91	319.95
IL7R	100	272.35	33.12	1124.96	235.11	218.69	27.65	165.45	177.29	36.34	638.14	825.31	447.84	1013.74	175.16	324.12	172.36	121.5	1130.36	264.92	622.47	860.2	866.01	464.61	404.15
IL8	100	667.73	88.94	236.24	328.3	641.9	654.56	920.99	103.56	423.91	2186.71	3167.24	135.02	164.93	204.91	69.45	64.53	612.95	223.56	149.47	1586.59	982.19	336.78	255.11	199.01
IL9	54.17	11.75	12.88	20.62	9	10.5	11.75	10.12	11.62	15.25	10.88	23.3	21.39	40.23	21.48	12.86	17.15	9.97	44.71	23.71	9.12	53.18	9.25	33.79	44.4
ILF3	100	4223.43	3551.89	3494.86	4335.28	4870.91	3970.45	3813.02	3391.28	4498.88	3419.34	3431.34	5864.76	2655.04	4959.14	5578.16	6023.6	9041.95	2551.34	4726.38	3019.73	2399.18	2056.78	4369.01	3485.81
INPP5D	100	315.2	134.35	1098.71	471.66	465.69	187.02	217.29	426.54	176.29	471.85	675.78	406.4	639.62	185.08	268.81	285.9	116.97	938.94	198.95	193.98	569.3	829.93	300.73	569.49
IRAK1	100	1363.11	510.93	1053.71	1714.61	1437.99	700.91	895.62	854.84	1277.13	2937.09	1726.35	1565.45	712.03	1103.87	969.78	1886.15	1776.29	1059.1	1124.64	1768.99	1154.23	1130.63	871.77	1417.59
IRAK2	100	347	63.39	164.99	189.24	152.61	70.74	151.11	80.74	57.87	399.1	159.24	110.96	152.87	102.45	73.31	53.91	64.38	102	98.96	92.65	143.89	168.39	42.24	64.3
IRAK4	100	302.76	177.88	406.86	359.84	280.05	167.5	104.78	170.27	192.44	465.61	506.84	282.08	454.58	284.23	329.26	392.1	266.58	535.14	456.66	286.63	381.62	457.06	305.8	361.29
IRF1	100	718.88	594.19	1286.2	735.45	560.09	454.53	1523.22	379.15	1578.58	1236.78	481.59	263.36	233.32	428	586.5	573.44	379.92	648.31	575.21	324.27	847.69	348.81	250.04	906.28
IRF2	100	938.69	779.64	849.34	609.29	717.42	373.22	926.51	700.37	997.21	787.8	568.98	647.03	695.94	553.59	564.63	565.27	542.23	940.33	606.13	503.77	903.99	890.07	495.02	972.11
IRF3	100	312.44	151.39	264.36	263.79	174.64	104.89	114.71	196.6	398.35	367.92	213.61	176.46	156.89	257.79	222.51	156.84	311.01	223.56	192.77	104.23	356.59	384.89	277.08	281.68
IRF4	100	51.15	38.79	1297.45	121.86	78.66	13.01	68.39	166.76	53.83	918.75	469.94	219.24	687.9	312.32	63.02	258.13	73.45	1672.48	489.65	312.68	478.58	769.79	354.79	1065.49
IRF5	100	179.72	47.31	249.37	173.47	188.8	193.52	75	166.76	266.46	434.43	246.62	169.78	185.05	112.37	108.04	216.47	144.17	368.87	93.81	246.09	290.9	372.87	187.53	298.52
IRF7	100	313.82	180.72	579.35	481.7	547.51	58.54	637.53	633.67	893.58	1045.55	1036.98	696.5	402.28	535.41	511.9	352.07	329.14	968.28	362.85	222.93	991.58	673.56	826.16	705.74
IRF8	100	254.37	87.99	1544.94	388.51	295.78	228.49	207.36	400.21	123.81	806.51	446.64	247.32	756.29	150.38	201.93	165.82	88.86	631.55	137.1	60.8	400.38	505.17	204.43	350.57
IRGM	87.5	51.15	27.44	58.12	21.5	22.03	16.26	25.37	31.6	44.41	60.28	151.47	109.62	177	6.88	7.38	13.89	7.62	188.63	109.27	78.17	193.94	168.39	82.78	85.73
ISG15	100	315.2	1213.92	809.97	2392.72	1799.85	277.27	1063.28	4983.35	5883.66	7720.01	1854.52	1089.53	213.21	424.69	879.75	765.41	2155.31	563.08	1964.77	321.37	3206.2	445.03	1638.8	898.63
ISG20	100	212.9	218.56	907.46	258.05	264.31	65.05	136.77	300.16	1053.73	1085.04	310.7	212.56	201.14	74.36	154.34	87.41	143.26	588.23	173.18	112.91	381.62	300.7	160.5	417.93
ITCH	100	1755.73	2124.13	2429.91	2418.52	2026.4	1931.96	1343.44	2285.42	1306.73	1523.63	1623.43	1217.87	1315.45	2252.35	1903.55	1503.04	2140.8	1325.97	1821.48	1297.06	1235.56	986.29	1946.29	1273.69
ITGA1	100	1291.22	818.43	2124.29	1111.06	2397.7	966.8	790.84	1893.99	865.32	1733.57	1238.93	938.47	985.58	1865.67	1665.6	1118.3	1352.85	1344.13	776.22	544.3	3131.13	1130.63	1199.53	1132.85
ITGA2	79.17	396.77	167.47	9.88	9	10.5	239.87	302.22	11.62	215.32	10.88	58.26	272.72	88.5	282.58	156.91	331.65	544.95	117.37	68.04	179.5	175.17	300.7	297.35	130.12
ITGA2B	100	92.63	91.78	75	51.61	51.92	93.51	61.77	42.13	59.21	56.12	213.61	151.06	132.75	193.34	92.6	79.24	121.5	346.51	118.55	141.87	200.19	312.73	116.57	183.71
ITGA4	100	228.11	71.91	931.84	326.87	365	93.51	240.45	263.3	177.64	837.69	477.71	231.27	390.21	234.65	218.65	197.68	127.85	483.44	93.81	133.18	290.9	445.03	143.61	326.08
ITGA5	100	785.24	674.61	1648.06	1267.32	2109.78	660.25	487.52	972.45	460.25	1575.6	1005.9	764.68	1057.99	2126.76	2074.61	512.99	899.48	1317.59	600.98	1305.75	2195.86	1683.91	1444.51	788.4
ITGA6	100	1448.82	535.53	948.71	2256.52	734.73	1302.61	752.24	1146.22	565.22	1076.73	468	512.01	1017.77	639.52	562.06	501.56	803.37	732.15	1091.65	555.88	888.35	817.9	873.46	578.67
ITGAE	100	282.02	273.44	464.98	296.76	369.72	210.6	295.6	315.96	184.37	216.18	236.91	270.04	587.33	345.37	445.02	289.17	364.51	290.62	180.4	263.47	303.42	420.98	244.98	246.47
ITGAL	100	106.45	28.38	781.84	164.87	116.42	38.22	151.11	136.91	139.96	557.07	398.09	228.6	663.76	107.41	151.77	235.26	69.82	1232.35	274.2	301.1	591.19	529.23	326.07	598.57
ITGAM	100	304.14	54.88	438.73	222.21	179.36	231.74	169.86	263.3	130.54	478.08	504.89	189.83	539.05	244.57	203.22	132.33	127.85	748.91	283.48	315.58	725.7	733.7	410.54	603.17
ITGAX	100	615.2	86.1	845.59	530.44	711.13	511.45	522.81	607.34	300.1	1567.28	1557.41	453.19	466.64	656.04	452.74	492.57	464.25	1339.94	368.01	680.38	1495.19	457.06	613.28	967.52
ITGB1	100	6005.43	6855.88	12230.15	10238.95	13176.32	7748.19	5010.86	16433.29	10938.34	12461.35	11721.32	6241.75	6838.75	15293.84	12917.1	7869.73	8574.98	8482.57	9884.67	5147.72	9405.91	7589.63	15757.83	8367.78
ITGB2	100	1405.97	122.05	1466.19	811.43	533.35	332.56	478.7	667.02	216.67	2001.71	1268.06	375.65	699.97	973.32	829.59	526.06	544.04	1805.22	415.43	367.69	1135.47	890.07	689.31	988.95
ITGB3	100	1802.73	294.26	120	1174.14	261.17	104.89	240.45	344.04	96.89	263.99	236.91	262.02	321.82	133.85	77.17	41.66	44.43	127.15	572.11	78.17	206.45	300.7	467.99	91.85
ITGB4	100	7371.31	398.33	1366.82	2918.86	2295.43	1298.55	209.57	3923.14	1084.68	1866.6	2784.69	2347.51	643.65	2680.35	2249.53	776.84	1192.35	767.08	2692.54	1722.66	444.18	950.21	4749.14	629.19
ITK	95.83	62.21	19.87	395.61	44.44	48.77	11.75	51.84	54.41	41.72	68.59	221.38	213.9	466.64	62.79	162.06	145.4	39.9	744.72	226.78	170.82	481.71	481.12	231.46	355.16
JAK1	100	1005.05	1258.39	1258.08	765.56	824.41	1037.54	551.49	1002.29	780.54	1403.07	1479.73	1239.26	2288.97	1897.06	1841.81	1860.01	1377.33	1636.15	804.05	1725.56	1116.7	1142.65	1289.08	1171.12
JAK2	100	705.06	1178.92	1169.95	579.18	585.26	358.58	612.16	710.9	767.08	1280.43	823.37	445.17	1387.86	512.27	558.2	746.62	418.91	1126.17	383.47	304	1035.37	1262.93	537.26	999.66
JAK3	100	605.52	612.17	1374.32	642.26	231.27	486.24	485.31	319.47	204.56	906.28	339.83	112.3	317.8	269.36	272.67	223.82	137.82	255.69	158.75	147.66	162.66	192.45	91.23	101.04
JAM3	100	519.81	1566.84	673.1	368.44	616.73	247.19	257	563.46	129.19	577.86	636.94	354.26	816.63	1046.03	608.36	224.64	209.46	736.34	378.32	350.32	638.11	1058.46	302.42	428.65
KIR3DL1	100	20.74	14.19	35.62	30.11	31.47	22.77	17.65	45.64	40.37	37.42	176.71	133.68	172.98	26.44	18.01	81.69	13.6	350.7	172.15	124.49	384.74	204.48	106.44	202.08
KIR3DL2	95.83	17.97	13.25	22.5	15.77	26.75	18.7	12.13	26.33	15.25	33.26	229.14	108.28	189.07	38.01	14.15	66.98	9.97	449.91	152.56	176.61	347.21	469.09	214.56	241.88
KIR3DL3	58.33	11.75	12.88	30	9	10.5	11.75	10.12	11.62	15.25	29.1	194.19	106.95	172.98	19.83	7.38	52.28	7.62	258.49	114.42	118.7	278.39	348.81	133.47	182.17
KIR_Activating_Subgroup_1	12.5	11.75	12.88	9.88	9	10.5	11.75	15.44	11.62	15.25	10.88	8.12	7.5	5.62	6.88	7.38	8.38	10.88	12.58	9.62	9.12	9	9.25	7.88	8.88
KIR_Activating_Subgroup_2	91.67	22.12	15.14	43.12	30.11	25.17	13.82	13.24	26.33	15.25	10.88	386.44	112.3	164.93	23.13	11.58	81.69	18.13	567.27	273.17	147.66	466.07	637.48	263.56	160.74
KIR_Inhibiting_Subgroup_1	100	22.12	22.71	48.75	17.2	29.89	17.89	17.65	26.33	37.68	68.59	104.86	50.8	116.66	28.09	19.29	9.8	13.6	51.7	25.77	28.95	78.2	120.28	38.86	81.14
KIR_Inhibiting_Subgroup_2	70.83	22.12	12.88	31.87	22.94	29.89	11.75	12.13	33.35	24.22	10.88	19.42	12.03	5.62	6.88	25.72	10.62	11.79	34.93	22.68	9.12	53.18	9.25	20.27	47.46
KIT	95.83	73.27	657.58	56.25	18.64	47.2	11.75	44.12	61.44	24.22	60.28	64.08	42.78	297.69	112.37	61.74	326.75	77.07	76.85	17.52	78.17	175.17	192.45	33.79	48.99
KLRB1	100	174.19	14.19	333.74	106.09	135.3	21.14	136.77	70.21	94.2	157.98	38.84	100.26	237.34	36.35	102.89	69.43	48.06	237.53	26.8	28.95	59.43	180.42	57.44	157.68
KLRC1	100	59.45	26.49	144.37	45.88	105.41	39.03	100.37	91.28	99.59	220.33	258.27	157.75	156.89	72.71	68.17	118.45	18.13	389.83	116.48	359.01	400.38	408.95	236.53	327.61
KLRC2	95.83	22.12	16.08	20.62	12.9	55.07	17.89	90.44	26.33	49.79	54.04	207.78	124.33	168.96	14.87	20.58	58	7.62	206.79	99.99	141.87	253.37	240.56	148.67	203.61
KLRD1	91.67	27.65	12.88	86.25	25.81	42.48	23.58	22.06	33.35	34.99	54.04	8.12	26.74	56.32	28.09	42.44	25.32	11.79	61.48	17.52	46.32	46.92	264.61	40.55	58.17
KLRF1	100	23.5	33.12	99.37	106.09	86.53	237.43	52.94	165	40.37	43.65	196.13	160.42	221.25	72.71	83.6	147.85	64.38	317.17	119.58	321.37	275.26	264.61	233.15	166.87
KLRG1	91.67	34.56	14.19	239.99	25.81	33.04	11.75	16.54	91.28	15.25	89.38	34.95	44.12	80.46	44.62	86.17	49.83	25.39	216.57	25.77	52.11	43.79	288.67	101.37	52.05
KLRK1	100	114.74	40.68	688.1	124.73	135.3	25.21	179.79	136.91	96.89	216.18	145.64	92.24	209.19	52.88	183.92	157.66	36.27	677.66	128.85	147.66	228.34	360.84	143.61	382.72
LAG3	100	103.68	477.81	236.24	203.57	103.84	61.8	113.61	98.3	236.85	247.36	126.22	65.51	72.41	39.66	111.9	105.38	123.32	191.42	193.8	46.32	222.09	132.31	52.37	232.69
LAIR2	100	124.42	36.9	361.86	248.02	143.17	166.69	102.58	166.76	100.93	590.33	458.29	205.87	370.1	125.59	111.9	116.81	58.94	651.11	255.65	231.62	591.19	625.45	229.77	339.86
LAMP1	100	4126.66	2741.03	3963.6	6196.12	4858.33	3360.61	2608.56	6640.37	3093.9	7578.66	5658.7	3514.58	2683.2	5763.9	5100.99	2812.49	4351.42	2496.84	5073.77	1965.86	3515.88	2393.56	3880.75	2230.49
LAMP2	100	2115.17	1617.94	1833.68	1926.79	2174.29	5896.72	1266.23	2341.59	1715.84	3654.22	3349.78	1864.9	1613.14	2006.13	1930.56	2542.92	2244.17	926.36	1001.97	3813.02	1025.99	601.4	734.93	704.2
LAMP3	100	51.15	85.15	234.37	149.1	224.98	68.3	157.73	398.46	933.96	575.78	308.76	315.5	177	130.55	293.25	156.84	149.61	343.72	188.64	266.36	597.45	288.67	302.42	431.71
LBP	66.67	11.75	12.88	67.5	9	10.5	11.75	10.12	11.62	15.25	29.1	122.34	60.16	667.78	47.92	69.45	49.01	24.48	251.5	91.74	121.6	193.94	264.61	172.33	174.52
LCK	100	106.45	28.38	873.72	120.42	122.72	12.2	142.29	133.4	130.54	226.57	289.34	244.64	462.62	66.1	198.07	167.46	69.82	778.26	279.36	185.29	400.38	637.48	234.84	384.25
LCN2	100	3920.67	375.63	221.24	3769	1154.8	1835.2	1155.93	1456.91	13269.2	62046.91	21248.29	1266	96.55	1274.07	985.21	291.62	651.03	206.79	389.66	414.02	372.23	372.87	2015.56	5708.65
LCP1	100	1256.66	421.99	4282.33	1463.73	2235.65	2471.06	1840.88	3301.75	561.18	1702.39	718.5	1568.12	1339.59	1322	1167.85	747.44	949.35	2720.4	783.43	1861.63	1889.31	1539.58	2770.76	1745.2
LGALS3	100	9030.26	6987.4	2934.26	3414.89	3598.12	2947.55	2262.22	6524.52	5095.05	3914.05	1778.78	2836.79	3037.21	3192.62	3224.45	2524.95	3558.02	2372.49	2157.54	3569.82	4366.69	3668.52	6323.74	3726.16
LIF	100	340.09	51.09	483.73	349.8	497.16	193.52	93.75	270.32	177.64	459.38	1149.61	199.19	164.93	267.7	181.35	49.83	121.5	199.8	294.82	214.25	190.81	168.39	574.42	151.56
LILRA1	100	23.5	14.19	61.87	30.11	36.19	18.7	25.37	40.37	29.61	60.28	143.7	72.19	104.59	24.79	32.15	32.67	21.76	180.24	89.68	112.91	250.24	445.03	106.44	117.88
